From,To
Q3TJZ6,ENSMUSG00000002017.11
Q3TKT4,ENSMUSG00000032187.17
Q3TKY6,ENSMUSG00000021715.13
Q3TL26,ENSMUSG00000026492.12
Q3TL44,ENSMUSG00000032109.16
Q3TLD5,ENSMUSG00000030421.10
Q3TLH4,ENSMUSG00000040225.16
Q3TLP5,ENSMUSG00000028601.19
Q3TLS3,ENSMUSG00000050973.12
Q3TMH2,ENSMUSG00000008226.15
Q3TMX7,ENSMUSG00000036327.19
Q3TNA1,ENSMUSG00000035769.10
Q3TNH5,ENSMUSG00000064138.15
Q3TPE9,ENSMUSG00000036188.5
Q3TPX4,ENSMUSG00000061244.15
Q3TQB2,ENSMUSG00000039048.16
Q3TQI7,ENSMUSG00000026851.10
Q3TRM4,ENSMUSG00000004565.16
Q3TSG4,ENSMUSG00000042650.4
Q3TTY5,ENSMUSG00000064201.9
Q3TW96,ENSMUSG00000026956.16
Q3TWI9,ENSMUSG00000036026.16
Q3TWL2,ENSMUSG00000035953.15
Q3TWW8,ENSMUSG00000016921.15
Q3TXS7,ENSMUSG00000026229.18
Q3TXX3,ENSMUSG00000018820.14
Q3TYA6,ENSMUSG00000079184.11
Q3TYD4,ENSMUSG00000020604.14
Q3TYS2,ENSMUSG00000039294.15
Q3TYX3,ENSMUSG00000033706.14
Q3TZM9,ENSMUSG00000063362.14
Q3TZX3,ENSMUSG00000028982.10
Q3TZX8,ENSMUSG00000028948.17
Q3TZZ7,ENSMUSG00000021171.9
Q3U0B3,ENSMUSG00000034449.8
Q3U0M1,ENSMUSG00000047921.19
Q3U0V1,ENSMUSG00000007670.11
Q3U0V2,ENSMUSG00000031887.14
Q3U186,ENSMUSG00000028292.15
Q3U1J4,ENSMUSG00000024740.11
Q3U1N2,ENSMUSG00000022463.9
Q3U1V6,ENSMUSG00000043262.17
Q3U213,ENSMUSG00000015659.13
Q3U214,ENSMUSG00000031833.11
Q3U276,ENSMUSG00000074211.5
Q3U2A8,ENSMUSG00000038838.16
Q3U2C5,ENSMUSG00000048234.14
Q3U2I3,ENSMUSG00000044465.20
Q3U2P1,ENSMUSG00000036391.17
Q3U2U7,ENSMUSG00000004561.15
Q3U308,ENSMUSG00000049482.17
Q3U319,ENSMUSG00000030816.9
Q3U3R4,ENSMUSG00000002279.20
Q3U3W5,ENSMUSG00000037134.18
Q3U487,ENSMUSG00000046861.10
Q3U4I7,ENSMUSG00000060224.5
Q3U515,ENSMUSG00000043789.9
Q3U5C8,ENSMUSG00000029032.13
Q3U5Q7,ENSMUSG00000020638.9
Q3U7R1,ENSMUSG00000025366.9
Q3U7U3,ENSMUSG00000001786.15
Q3U821,ENSMUSG00000025995.17
Q3U829,ENSMUSG00000039623.14
Q3U9G9,ENSMUSG00000004880.12
Q3U9N9,ENSMUSG00000019838.12
Q3UBG2,ENSMUSG00000045658.17
Q3UBX0,ENSMUSG00000034659.15
Q3UBZ5,ENSMUSG00000020743.16
Q3UC65,ENSMUSG00000037266.19
Q3UCV8,ENSMUSG00000046034.9
Q3UD01,ENSMUSG00000074748.4
Q3UDE2,ENSMUSG00000016757.12
Q3UDP0,ENSMUSG00000042015.19
Q3UDR8,ENSMUSG00000071074.10
Q3UDW8,ENSMUSG00000037260.9
Q3UE37,ENSMUSG00000014349.8
Q3UEB3,ENSMUSG00000002524.18
Q3UEG6,ENSMUSG00000089678.9
Q3UEI1,ENSMUSG00000031842.16
Q3UFK8,ENSMUSG00000024816.13
Q3UFM5,ENSMUSG00000001569.11
Q3UFS0,ENSMUSG00000034636.10
Q3UFT3,ENSMUSG00000042680.9
Q3UFY8,ENSMUSG00000044763.9
Q3UG98,ENSMUSG00000015542.18
Q3UGC7,ENSMUSG00000027236.9
Q3UGP8,ENSMUSG00000075470.3
Q3UGP9,ENSMUSG00000034158.10
Q3UGR5,ENSMUSG00000025421.16
Q3UH06,ENSMUSG00000039087.18
Q3UH60,ENSMUSG00000023026.17
Q3UHA3,ENSMUSG00000033396.14
Q3UHB1,ENSMUSG00000054027.9
Q3UHD6,ENSMUSG00000028136.16
Q3UHH1,ENSMUSG00000021819.12
Q3UHH8,ENSMUSG00000036197.17
Q3UHJ0,ENSMUSG00000057230.15
Q3UHN9,ENSMUSG00000054008.10
Q3UHQ6,ENSMUSG00000022946.11
Q3UHX0,ENSMUSG00000021392.9
Q3UHX2,ENSMUSG00000029623.15
Q3UHX9,ENSMUSG00000039660.17
Q3UI43,ENSMUSG00000031820.10
Q3UIA2,ENSMUSG00000030766.16
Q3UIL6,ENSMUSG00000045659.19
Q3UIR3,ENSMUSG00000049502.18
Q3UIU2,ENSMUSG00000071014.11
Q3UJD6,ENSMUSG00000006676.18
Q3UJU9,ENSMUSG00000070730.12
Q3UKJ7,ENSMUSG00000028409.12
Q3UL36,ENSMUSG00000040459.12
Q3ULD5,ENSMUSG00000021646.10
Q3ULF4,ENSMUSG00000000738.19
Q3ULJ0,ENSMUSG00000050627.14
Q3ULW8,ENSMUSG00000023249.16
Q3UM18,ENSMUSG00000022538.21
Q3UM45,ENSMUSG00000026275.14
Q3UMB5,ENSMUSG00000049323.9
Q3UMB9,ENSMUSG00000034560.7
Q3UMC0,ENSMUSG00000027722.15
Q3UMF0,ENSMUSG00000034903.19
Q3UMR0,ENSMUSG00000034867.17
Q3UMR5,ENSMUSG00000009647.14
Q3UMT1,ENSMUSG00000019254.17
Q3UMU9,ENSMUSG00000002833.12
Q3UMW8,ENSMUSG00000022125.8
Q3UN02,ENSMUSG00000054469.15
Q3UN04,ENSMUSG00000029592.12
Q3UNA4,ENSMUSG00000042271.14
Q3UNX5,ENSMUSG00000030935.16
Q3UNZ8,ENSMUSG00000033488.12
Q3UP75,ENSMUSG00000072664.12
Q3UPF5,ENSMUSG00000029826.15
Q3UPH1,ENSMUSG00000024594.10
Q3UPH7,ENSMUSG00000004562.17
Q3UPL0,ENSMUSG00000035325.17
Q3UPR7,ENSMUSG00000089876.4
Q3UQ44,ENSMUSG00000021676.11
Q3UQ84,ENSMUSG00000028107.15
Q3UQA7,ENSMUSG00000076437.12
Q3UQN2,ENSMUSG00000041685.18
Q3UR85,ENSMUSG00000036098.16
Q3URD3,ENSMUSG00000021870.18
Q3URE1,ENSMUSG00000015016.9
Q3URQ0,ENSMUSG00000028345.16
Q3URS9,ENSMUSG00000025645.9
Q3USH5,ENSMUSG00000029439.15
Q3USZ8,ENSMUSG00000045414.8
Q3UTH8,ENSMUSG00000025656.18
Q3UTJ2,ENSMUSG00000031626.19
Q3UU96,ENSMUSG00000026490.19
Q3UUG6,ENSMUSG00000036473.17
Q3UUI3,ENSMUSG00000028145.10
Q3UUQ7,ENSMUSG00000073678.5
Q3UV17,ENSMUSG00000075402.2
Q3UV70,ENSMUSG00000049225.16
Q3UVG3,ENSMUSG00000037119.5
Q3UVK0,ENSMUSG00000046324.13
Q3UVL4,ENSMUSG00000024797.15
Q3UVR3,ENSMUSG00000090100.8
Q3UVU3,ENSMUSG00000026614.8
Q3UXZ9,ENSMUSG00000030180.16
Q3UYH7,ENSMUSG00000042249.12
Q3UYI5,ENSMUSG00000040146.10
Q3UYV9,ENSMUSG00000028330.9
Q3UZ09,ENSMUSG00000038527.10
Q3UZ39,ENSMUSG00000026305.16
Q3UZZ6,ENSMUSG00000029273.11
Q3V009,ENSMUSG00000032180.12
Q3V0C5,ENSMUSG00000043411.16
Q3V1L4,ENSMUSG00000025041.18
Q3V1V3,ENSMUSG00000045624.16
Q3V2Q8,ENSMUSG00000041132.12
Q3V384,ENSMUSG00000038302.15
Q3V3Q7,ENSMUSG00000021143.11
Q3V3R1,ENSMUSG00000040675.18
Q3V3R4,ENSMUSG00000042284.11
Q3V4B5,ENSMUSG00000075486.11
Q3ZK22,ENSMUSG00000036099.17
Q497J1,ENSMUSG00000045282.8
Q499X9,ENSMUSG00000046994.10
Q4FK66,ENSMUSG00000063800.6
Q4FZF3,ENSMUSG00000057788.14
Q4KL35,ENSMUSG00000031147.9
Q4KMM3,ENSMUSG00000022307.17
Q4LDD4,ENSMUSG00000032812.19
Q4LDG0,ENSMUSG00000030382.16
Q4PJX1,ENSMUSG00000006010.15
Q4PZA2,ENSMUSG00000057530.15
Q4U2R1,ENSMUSG00000030451.17
Q4VA53,ENSMUSG00000034021.16
Q4VAA2,ENSMUSG00000032803.16
Q4VAA7,ENSMUSG00000032733.7
Q4VAC9,ENSMUSG00000052609.10
Q4VBD2,ENSMUSG00000046985.12
Q4VBE8,ENSMUSG00000035754.9
Q4VC33,ENSMUSG00000079562.8
Q501J2,ENSMUSG00000057411.10
Q501J6,ENSMUSG00000055065.8
Q501J7,ENSMUSG00000066043.14
Q505B7,ENSMUSG00000057572.16
Q505D1,ENSMUSG00000014496.9
Q505D7,ENSMUSG00000052214.10
Q505F5,ENSMUSG00000029028.15
Q52KE7,ENSMUSG00000027829.16
Q569Z5,ENSMUSG00000021500.19
Q569Z6,ENSMUSG00000043962.17
Q56A08,ENSMUSG00000031148.15
Q570Y9,ENSMUSG00000022419.17
Q571B6,ENSMUSG00000045795.11
Q571E4,ENSMUSG00000015027.12
Q571F8,ENSMUSG00000044005.14
Q58A65,ENSMUSG00000020859.18
Q59J78,ENSMUSG00000068184.8
Q5BL07,ENSMUSG00000005907.15
Q5BU09,ENSMUSG00000054302.17
Q5DTM8,ENSMUSG00000028309.15
Q5DTT2,ENSMUSG00000037126.17
Q5DU37,ENSMUSG00000066440.6
Q5DW34,ENSMUSG00000036893.19
Q5EBG8,ENSMUSG00000078584.10
Q5EG47,ENSMUSG00000050697.10
Q5F285,ENSMUSG00000070394.11
Q5F2E7,ENSMUSG00000037857.17
Q5F2E8,ENSMUSG00000017291.14
Q5F2F2,ENSMUSG00000000686.12
Q5FW57,ENSMUSG00000071633.12
Q5FW60,ENSMUSG00000078672.3
Q5FWK3,ENSMUSG00000027247.17
Q5H8C4,ENSMUSG00000046230.12
Q5HZH2,ENSMUSG00000015126.11
Q5HZI9,ENSMUSG00000045973.19
Q5IRJ6,ENSMUSG00000029221.16
Q5KU39,ENSMUSG00000041236.9
Q5M8N4,ENSMUSG00000022223.10
Q5MJS3,ENSMUSG00000025854.16
Q5NBX1,ENSMUSG00000020173.18
Q5NCF2,ENSMUSG00000049299.15
Q5NCI0,ENSMUSG00000049680.19
Q5NCM1,ENSMUSG00000021336.18
Q5NCQ5,ENSMUSG00000078789.10
Q5NCS9,ENSMUSG00000018599.6
Q5ND29,ENSMUSG00000038195.7
Q5ND34,ENSMUSG00000045374.19
Q5ND52,ENSMUSG00000038046.5
Q5PRF0,ENSMUSG00000035181.7
Q5PT54,ENSMUSG00000058921.4
Q5QGU6,ENSMUSG00000066319.7
Q5RJ54,ENSMUSG00000022228.15
Q5RJG1,ENSMUSG00000061458.10
Q5RKZ7,ENSMUSG00000064120.15
Q5RL79,ENSMUSG00000042747.13
Q5SF07,ENSMUSG00000033581.18
Q5SFM8,ENSMUSG00000024491.17
Q5SGK3,ENSMUSG00000079554.3
Q5SRX1,ENSMUSG00000000538.19
Q5SRY7,ENSMUSG00000020271.18
Q5SS80,ENSMUSG00000020834.18
Q5SSH7,ENSMUSG00000055670.15
Q5SSH8,ENSMUSG00000057778.15
Q5SSI6,ENSMUSG00000054079.13
Q5SSK3,ENSMUSG00000046909.10
Q5SSW2,ENSMUSG00000040850.18
Q5SSZ5,ENSMUSG00000020422.15
Q5SU73,ENSMUSG00000033983.15
Q5SUC9,ENSMUSG00000069844.13
Q5SUE8,ENSMUSG00000020864.14
Q5SUF2,ENSMUSG00000020863.16
Q5SUR0,ENSMUSG00000020899.17
Q5SV77,ENSMUSG00000020530.15
Q5SV80,ENSMUSG00000020527.15
Q5SV85,ENSMUSG00000034940.16
Q5SVQ0,ENSMUSG00000038909.18
Q5SVR0,ENSMUSG00000036644.16
Q5SWD9,ENSMUSG00000038335.14
Q5SWT3,ENSMUSG00000018740.15
Q5SWU9,ENSMUSG00000020532.19
Q5SWW4,ENSMUSG00000034297.15
Q5SX19,ENSMUSG00000014245.9
Q5SX79,ENSMUSG00000018387.13
Q5SXA9,ENSMUSG00000018849.7
Q5SYD0,ENSMUSG00000035441.15
Q5SYH2,ENSMUSG00000051232.14
Q5SYL3,ENSMUSG00000010277.8
Q5SZA1,ENSMUSG00000036110.15
Q5SZT7,ENSMUSG00000059395.5
Q5U3K5,ENSMUSG00000015087.15
Q5U430,ENSMUSG00000044308.19
Q5U458,ENSMUSG00000039768.17
Q5U4C3,ENSMUSG00000038406.18
Q5U4D9,ENSMUSG00000041319.15
Q5U4E2,ENSMUSG00000052751.17
Q5U5M8,ENSMUSG00000057667.8
Q5U5V2,ENSMUSG00000035878.14
Q5U680,ENSMUSG00000045100.12
Q5XG73,ENSMUSG00000026781.18
Q5XJE5,ENSMUSG00000042487.7
Q5XJY4,ENSMUSG00000033918.17
Q5XJY5,ENSMUSG00000032096.17
Q5XKN4,ENSMUSG00000051256.11
Q5XPI3,ENSMUSG00000041528.17
Q5Y5T1,ENSMUSG00000021969.9
Q5YD48,ENSMUSG00000052595.9
Q60520,ENSMUSG00000042557.15
Q60575,ENSMUSG00000063077.16
Q60590,ENSMUSG00000039196.3
Q60596,ENSMUSG00000051768.10
Q60597,ENSMUSG00000020456.18
Q60598,ENSMUSG00000031078.16
Q60605,ENSMUSG00000090841.3
Q60631,ENSMUSG00000059923.14
Q60634,ENSMUSG00000061981.15
Q60641,ENSMUSG00000047638.16
Q60648,ENSMUSG00000000594.8
Q60649,ENSMUSG00000001829.18
Q60668,ENSMUSG00000000568.16
Q60676,ENSMUSG00000003099.12
Q60692,ENSMUSG00000018286.7
Q60710,ENSMUSG00000027639.17
Q60714,ENSMUSG00000031808.8
Q60715,ENSMUSG00000019916.15
Q60737,ENSMUSG00000074698.11
Q60738,ENSMUSG00000037434.8
Q60739,ENSMUSG00000028416.14
Q60749,ENSMUSG00000028790.14
Q60759,ENSMUSG00000003809.15
Q60766,ENSMUSG00000046879.8
Q60770,ENSMUSG00000027882.19
Q60772,ENSMUSG00000028551.15
Q60778,ENSMUSG00000030595.16
Q60809,ENSMUSG00000031601.17
Q60823,ENSMUSG00000004056.17
Q60855,ENSMUSG00000021408.16
Q60864,ENSMUSG00000024966.10
Q60865,ENSMUSG00000027184.15
Q60866,ENSMUSG00000026730.13
Q60872,ENSMUSG00000057561.12
Q60902,ENSMUSG00000006276.12
Q60930,ENSMUSG00000021771.15
Q60931,ENSMUSG00000008892.14
Q60932,ENSMUSG00000020402.12
Q60936,ENSMUSG00000026489.14
Q60953,ENSMUSG00000036986.17
Q60960,ENSMUSG00000022905.13
Q60967,ENSMUSG00000028032.14
Q60972,ENSMUSG00000057236.11
Q60973,ENSMUSG00000031353.14
Q60989,ENSMUSG00000025860.16
Q60991,ENSMUSG00000039519.7
Q60992,ENSMUSG00000009621.19
Q60996,ENSMUSG00000017843.15
Q61009,ENSMUSG00000037936.16
Q61029,ENSMUSG00000019961.18
Q61033,ENSMUSG00000019961.18
Q61035,ENSMUSG00000001380.8
Q61048,ENSMUSG00000022023.7
Q61070,ENSMUSG00000062762.18
Q61074,ENSMUSG00000029147.12
Q61081,ENSMUSG00000019471.11
Q61102,ENSMUSG00000031333.8
Q61103,ENSMUSG00000024826.16
Q61107,ENSMUSG00000028268.15
Q61112,ENSMUSG00000029076.15
Q61122,ENSMUSG00000002881.15
Q61129,ENSMUSG00000058952.13
Q61133,ENSMUSG00000033318.8
Q61136,ENSMUSG00000021413.10
Q61140,ENSMUSG00000031955.11
Q61146,ENSMUSG00000021638.13
Q61147,ENSMUSG00000003617.17
Q61151,ENSMUSG00000021051.11
Q61160,ENSMUSG00000031077.8
Q61164,ENSMUSG00000005698.16
Q61166,ENSMUSG00000027479.15
Q61171,ENSMUSG00000005161.16
Q61176,ENSMUSG00000019987.10
Q61183,ENSMUSG00000021111.16
Q61187,ENSMUSG00000014402.16
Q61191,ENSMUSG00000031386.15
Q61205,ENSMUSG00000005447.13
Q61206,ENSMUSG00000003131.8
Q61207,ENSMUSG00000004207.16
Q61210,ENSMUSG00000040940.19
Q61211,ENSMUSG00000026427.17
Q61214,ENSMUSG00000022897.16
Q61216,ENSMUSG00000031928.16
Q61233,ENSMUSG00000021998.17
Q61234,ENSMUSG00000027488.13
Q61235,ENSMUSG00000041308.7
Q61239,ENSMUSG00000015994.11
Q61247,ENSMUSG00000038224.13
Q61249,ENSMUSG00000031221.8
Q61268,ENSMUSG00000074336.6
Q61285,ENSMUSG00000055782.10
Q61334,ENSMUSG00000020650.16
Q61335,ENSMUSG00000002015.6
Q61387,ENSMUSG00000024248.15
Q61390,ENSMUSG00000020698.12
Q61391,ENSMUSG00000027820.13
Q61411,ENSMUSG00000025499.19
Q61418,ENSMUSG00000000605.10
Q61419,ENSMUSG00000016756.18
Q61420,ENSMUSG00000028293.15
Q61425,ENSMUSG00000027984.9
Q61458,ENSMUSG00000021548.11
Q61464,ENSMUSG00000030016.16
Q61490,ENSMUSG00000022636.14
Q61503,ENSMUSG00000032420.9
Q61510,ENSMUSG00000000275.17
Q61526,ENSMUSG00000018166.9
Q61542,ENSMUSG00000018167.11
Q61543,ENSMUSG00000003316.15
Q61545,ENSMUSG00000009079.17
Q61550,ENSMUSG00000022314.11
Q61559,ENSMUSG00000003420.9
Q61578,ENSMUSG00000018861.9
Q61581,ENSMUSG00000036256.14
Q61584,ENSMUSG00000027680.16
Q61586,ENSMUSG00000024978.12
Q61598,ENSMUSG00000021218.11
Q61606,ENSMUSG00000025127.16
Q61609,ENSMUSG00000027397.15
Q61624,ENSMUSG00000022811.18
Q61646,ENSMUSG00000031722.11
Q61655,ENSMUSG00000015023.8
Q61686,ENSMUSG00000009575.15
Q61687,ENSMUSG00000031229.17
Q61694,ENSMUSG00000038092.7
Q61699,ENSMUSG00000029657.16
Q61702,ENSMUSG00000006529.17
Q61703,ENSMUSG00000037254.19
Q61704,ENSMUSG00000006522.18
Q61712,ENSMUSG00000026740.13
Q61730,ENSMUSG00000022514.15
Q61733,ENSMUSG00000031533.5
Q61735,ENSMUSG00000055447.20
Q61739,ENSMUSG00000027111.17
Q61749,ENSMUSG00000029145.13
Q61768,ENSMUSG00000006740.15
Q61792,ENSMUSG00000038366.16
Q61823,ENSMUSG00000024975.14
Q61838,ENSMUSG00000030359.15
Q61879,ENSMUSG00000020900.16
Q61907,ENSMUSG00000000301.17
Q61908,ENSMUSG00000090110.9
Q61937,ENSMUSG00000057113.14
Q61990,ENSMUSG00000056851.16
Q62018,ENSMUSG00000005609.17
Q62073,ENSMUSG00000028284.14
Q62074,ENSMUSG00000037643.15
Q62077,ENSMUSG00000016933.18
Q62086,ENSMUSG00000032667.18
Q62087,ENSMUSG00000029759.10
Q62093,ENSMUSG00000034120.19
Q62095,ENSMUSG00000069045.12
Q62159,ENSMUSG00000002233.14
Q62165,ENSMUSG00000039952.16
Q62167,ENSMUSG00000000787.13
Q62172,ENSMUSG00000024096.18
Q62186,ENSMUSG00000002014.13
Q62189,ENSMUSG00000061479.16
Q62193,ENSMUSG00000028884.15
Q62241,ENSMUSG00000024217.11
Q62245,ENSMUSG00000024241.8
Q62261,ENSMUSG00000020315.19
Q62264,ENSMUSG00000035686.9
Q62280,ENSMUSG00000037013.18
Q62302,ENSMUSG00000014748.14
Q62311,ENSMUSG00000036980.14
Q62313,ENSMUSG00000056429.5
Q62318,ENSMUSG00000005566.15
Q62348,ENSMUSG00000026374.15
Q62351,ENSMUSG00000022797.17
Q62376,ENSMUSG00000063511.12
Q62383,ENSMUSG00000002052.7
Q62384,ENSMUSG00000032078.18
Q62392,ENSMUSG00000020205.9
Q62393,ENSMUSG00000027506.16
Q62406,ENSMUSG00000031392.19
Q62418,ENSMUSG00000020476.15
Q62419,ENSMUSG00000003200.11
Q62422,ENSMUSG00000024725.14
Q62425,ENSMUSG00000029632.8
Q62426,ENSMUSG00000005054.8
Q62432,ENSMUSG00000024563.17
Q62433,ENSMUSG00000005125.14
Q62446,ENSMUSG00000020949.10
Q62452,ENSMUSG00000090175.2
Q62465,ENSMUSG00000034993.8
Q62470,ENSMUSG00000001507.17
Q62523,ENSMUSG00000029860.17
Q63739,ENSMUSG00000117310.3
Q63739,ENSMUSG00000026064.17
Q63829,ENSMUSG00000051154.13
Q63844,ENSMUSG00000063065.14
Q63850,ENSMUSG00000109511.2
Q63880,ENSMUSG00000069922.13
Q63886,ENSMUSG00000089960.2
Q63932,ENSMUSG00000035027.19
Q63ZW7,ENSMUSG00000061859.18
Q64010,ENSMUSG00000017776.16
Q64012,ENSMUSG00000027593.16
Q640L3,ENSMUSG00000034563.17
Q640M1,ENSMUSG00000063785.13
Q64127,ENSMUSG00000029833.18
Q64133,ENSMUSG00000025037.7
Q64152,ENSMUSG00000021660.15
Q64176,ENSMUSG00000061959.14
Q64191,ENSMUSG00000031521.6
Q64213,ENSMUSG00000024949.18
Q64261,ENSMUSG00000040274.12
Q64282,ENSMUSG00000034459.9
Q64310,ENSMUSG00000014867.10
Q64311,ENSMUSG00000022681.16
Q64321,ENSMUSG00000028042.16
Q64324,ENSMUSG00000004626.15
Q64331,ENSMUSG00000033577.19
Q64337,ENSMUSG00000015837.16
Q64339,ENSMUSG00000035692.8
Q64362,ENSMUSG00000031667.17
Q64373,ENSMUSG00000007659.19
Q64374,ENSMUSG00000023070.7
Q64378,ENSMUSG00000024222.19
Q64433,ENSMUSG00000073676.5
Q64435,ENSMUSG00000054545.18
Q64435,ENSMUSG00000090124.8
Q64442,ENSMUSG00000027227.8
Q64446,ENSMUSG00000006567.12
Q64458,ENSMUSG00000003053.18
Q64459,ENSMUSG00000056035.9
Q64464,ENSMUSG00000029727.8
Q64471,ENSMUSG00000001663.11
Q64475,ENSMUSG00000075031.5
Q64478,ENSMUSG00000114456.2
Q64481,ENSMUSG00000038656.6
Q64487,ENSMUSG00000028399.19
Q64505,ENSMUSG00000028240.3
Q64511,ENSMUSG00000017485.12
Q64514,ENSMUSG00000041763.15
Q64516,ENSMUSG00000025059.17
Q64520,ENSMUSG00000020444.21
Q64521,ENSMUSG00000026827.13
Q64522,ENSMUSG00000063689.5
Q64523,ENSMUSG00000068855.4
Q64669,ENSMUSG00000003849.9
Q64674,ENSMUSG00000006442.11
Q64685,ENSMUSG00000022885.17
Q64705,ENSMUSG00000058239.14
Q64726,ENSMUSG00000037053.7
Q64727,ENSMUSG00000021823.11
Q64735,ENSMUSG00000016481.16
Q64737,ENSMUSG00000022962.16
Q64FW2,ENSMUSG00000056666.14
Q65Z40,ENSMUSG00000041408.19
Q66GT5,ENSMUSG00000063235.19
Q68EF0,ENSMUSG00000064181.7
Q68FD5,ENSMUSG00000047126.18
Q68FE2,ENSMUSG00000033124.17
Q68FF6,ENSMUSG00000011877.14
Q68FH0,ENSMUSG00000026991.21
Q68FH4,ENSMUSG00000027207.16
Q68FL4,ENSMUSG00000029772.18
Q68FL6,ENSMUSG00000040354.15
Q69Z99,ENSMUSG00000062761.8
Q69ZA1,ENSMUSG00000041297.9
Q69ZB8,ENSMUSG00000038866.16
Q69ZC8,ENSMUSG00000022008.5
Q69ZF3,ENSMUSG00000028467.16
Q69ZL1,ENSMUSG00000020021.5
Q69ZP3,ENSMUSG00000026179.15
Q69ZQ1,ENSMUSG00000046312.5
Q69ZQ2,ENSMUSG00000030056.9
Q69ZR9,ENSMUSG00000040651.10
Q69ZS7,ENSMUSG00000019977.17
Q69ZT1,ENSMUSG00000033458.18
Q69ZW3,ENSMUSG00000042302.15
Q69ZX8,ENSMUSG00000032735.16
Q69ZZ6,ENSMUSG00000030126.18
Q6A009,ENSMUSG00000052299.10
Q6A028,ENSMUSG00000031015.9
Q6A068,ENSMUSG00000023932.10
Q6A0A2,ENSMUSG00000033499.15
Q6A0A9,ENSMUSG00000038014.8
Q6AW69,ENSMUSG00000032232.15
Q6DFW4,ENSMUSG00000026020.10
Q6DFX2,ENSMUSG00000029338.14
Q6DG52,ENSMUSG00000090258.8
Q6DI86,ENSMUSG00000027086.17
Q6DID3,ENSMUSG00000046201.10
Q6DVA0,ENSMUSG00000044857.9
Q6DYE8,ENSMUSG00000019989.9
Q6GQS1,ENSMUSG00000046329.15
Q6GQT6,ENSMUSG00000032485.15
Q6GQT9,ENSMUSG00000030835.7
Q6GSS7,ENSMUSG00000063954.8
Q6GSS7,ENSMUSG00000064220.7
Q6GV12,ENSMUSG00000009905.6
Q6IFX2,ENSMUSG00000053654.8
Q6IQX8,ENSMUSG00000049295.18
Q6IRU5,ENSMUSG00000047547.15
Q6IS41,ENSMUSG00000048856.10
Q6KAR6,ENSMUSG00000034152.7
Q6KCD5,ENSMUSG00000022141.8
Q6NS46,ENSMUSG00000025047.10
Q6NS82,ENSMUSG00000049339.17
Q6NSR8,ENSMUSG00000039263.17
Q6NT99,ENSMUSG00000026544.7
Q6NV83,ENSMUSG00000032407.15
Q6NVE9,ENSMUSG00000038582.16
Q6NVF9,ENSMUSG00000055531.13
Q6NXI6,ENSMUSG00000028106.14
Q6NZB0,ENSMUSG00000054405.15
Q6NZF1,ENSMUSG00000102976.7
Q6NZJ6,ENSMUSG00000045983.17
Q6NZN0,ENSMUSG00000022119.16
Q6NZQ2,ENSMUSG00000026806.16
Q6NZQ4,ENSMUSG00000002221.12
Q6P069,ENSMUSG00000003161.16
Q6P073,ENSMUSG00000023286.17
Q6P1B1,ENSMUSG00000025027.19
Q6P1F6,ENSMUSG00000022052.10
Q6P1G0,ENSMUSG00000000976.14
Q6P1H6,ENSMUSG00000029501.16
Q6P2B1,ENSMUSG00000012535.15
Q6P2K6,ENSMUSG00000041846.16
Q6P2L6,ENSMUSG00000054823.18
Q6P3A8,ENSMUSG00000032263.15
Q6P3B9,ENSMUSG00000024570.8
Q6P3D0,ENSMUSG00000032565.10
Q6P3E7,ENSMUSG00000062906.13
Q6P4S6,ENSMUSG00000034135.16
Q6P4S8,ENSMUSG00000029547.11
Q6P4T0,ENSMUSG00000024773.16
Q6P4T2,ENSMUSG00000003660.11
Q6P542,ENSMUSG00000038762.16
Q6P549,ENSMUSG00000032737.14
Q6P5B0,ENSMUSG00000035049.5
Q6P5D3,ENSMUSG00000035051.16
Q6P5D8,ENSMUSG00000024054.15
Q6P5E4,ENSMUSG00000037470.15
Q6P5F7,ENSMUSG00000036565.8
Q6P5F9,ENSMUSG00000020290.16
Q6P5G6,ENSMUSG00000053774.10
Q6P6I6,ENSMUSG00000032199.14
Q6P6J9,ENSMUSG00000021497.11
Q6P6M5,ENSMUSG00000069633.13
Q6P6M7,ENSMUSG00000029173.13
Q6P8I4,ENSMUSG00000071533.12
Q6P8I6,ENSMUSG00000020544.15
Q6P8J2,ENSMUSG00000069835.11
Q6P8M1,ENSMUSG00000050891.11
Q6P8X1,ENSMUSG00000005656.10
Q6P9K9,ENSMUSG00000066392.13
Q6P9N1,ENSMUSG00000028995.15
Q6P9Q6,ENSMUSG00000066151.13
Q6P9R1,ENSMUSG00000029504.6
Q6P9R2,ENSMUSG00000036737.13
Q6PA06,ENSMUSG00000059811.14
Q6PAC3,ENSMUSG00000022300.11
Q6PAJ1,ENSMUSG00000009681.11
Q6PAM1,ENSMUSG00000053841.16
Q6PAQ4,ENSMUSG00000052406.15
Q6PAR0,ENSMUSG00000029775.15
Q6PAR5,ENSMUSG00000026867.20
Q6PAV2,ENSMUSG00000020064.10
Q6PB44,ENSMUSG00000036057.12
Q6PB66,ENSMUSG00000024120.13
Q6PB93,ENSMUSG00000089704.10
Q6PCM2,ENSMUSG00000035161.8
Q6PCP5,ENSMUSG00000026150.15
Q6PD03,ENSMUSG00000026626.12
Q6PD10,ENSMUSG00000032594.12
Q6PD21,ENSMUSG00000044813.16
Q6PD26,ENSMUSG00000041958.11
Q6PDE7,ENSMUSG00000040471.18
